sentiment,skin_type_mentioned,key_benefit,complaint,customer_representative_reply,dark_spot_effect
Positif,normal to oily,"Membuat muka lebih cerah, sehat, dan seimbang pH wajah",None,Terima kasih sudah memilih produk kami! Kami senang mendengar bahwa produk kami telah membantu Anda meningkatkan kesehatan kulit. Kami akan terus berusaha untuk memberikan produk yang berkualitas dan membantu Anda terus memiliki kulit yang sehat dan cerah. Salam sukses!,
Positif,Tidak disebutkan,Mengurangi kulit yang banyak dark spot karena jerawat dan membuat kulit lebih cerah,"Harus pakai secara rutin dan konsisten, tapi tidak disebutkan sebagai keluhan utama","Terimakasih telah memilih produk kami, serum vitamin C Azarine. Kami senang Anda telah mendapatkan manfaat dari produk kami. Untuk hasil yang lebih optimal, kami sarankan Anda terus menggunakan produk secara konsisten dan rutin.",
Positif,N/A,"Mencerahkan wajah, menyamarkan noda hitam, meratakan warna kulit, dan membuat kulit glowing, lembab, dan sehat",None,Terima kasih atas ulasan positif Anda tentang produk sunscreen kami! Kami senang mendengar bahwa produk kami telah membantu membersihkan wajah Anda dan membuatnya terlihat lebih sehat dan glowing. Kami akan terus bekerja untuk memberikan produk berkualitas terbaik untuk Anda.,
Positif,N/A,"Mudah meresap, melembabkan, dan nggak lengket",None,"Terima kasih sudah mencoba serum azarine! Kami senang mendengar bahwa Anda menemukan manfaat dari produk kami. Semingguan pakai kulit Anda yang cerah pasti membuat kami bahagia! Jika Anda memiliki pertanyaan atau ingin mencoba produk lainnya, jangan ragu untuk menghubungi kami.",
Positif,berminyak,"muka jadi cerahan, lembab",ngabikin kulit sedikit berminyk,"Terima kasih sudah menggunakan produk sunscreen kami. Kami senang mendengar bahwa Anda merasakan manfaat positif dari produk kita, seperti kulit yang lembab dan wajah yang cerahkan. Kami juga mengerti bahwa Anda pernah mengalami sedikit masalah berminyak, dan kami akan mencoba untuk menyesuaikan produk kami agar lebih sesuai dengan jenis kulit Anda. Jika Anda memiliki saran atau pertanyaan, jangan ragu untuk menghubungi kami. Kami selalu berada di sini untuk membantu.",
Positif,N/A,Menghilangkan/mengurangi bekas jerawat,None,"Terima kasih telah memilih produk kami dan kami senang mengetahui bahwa Anda puas dengan kualitas dan kemudahan penggunaan produk kami.
Selain itu, kami paham bahwa kulit Anda pernah mengalami jerawat, namun produk kami dapat membantu mengurangi bekasnya.
Kami juga ingin memastikan bahwa Anda menggunakan produk kami dengan cara yang tepat, sehingga Anda dapat menikmati hasil yang lebih maksimal. Jika Anda memiliki pertanyaan atau memerlukan bantuan lebih lanjut, silakan hubungi kami.",
Netral,N/A,"Cukup melembabkan dan tidak bikin breakout, juga memiliki tekstur light dan wanginya seger",Tidak ada perubahan apa-apa,"Terima kasih telah memilih produk kami! Kami senang Anda puas dengan tekstur dan wanginya produk kami. Jika Anda memiliki saran atau pertanyaan, silakan hubungi kami. Kami selalu ingin meningkatkan produk kami untuk memenuhi kebutuhan Anda.",
Positif,N/A,Mudah dan jarang jerawatan dengan cerahan kulit,"Hanya complaint-nya kurang jelas (bauny ga ganggu, agak cair dan cepat meresap, ga bikin greasy)","Terima kasih atas review Anda!
Kami senang produk kami sudah membantu kulit Anda tetap sehat dan cerah. Untuk informasi lebih lanjut tentang produk kami, silakan hubungi kami di [email/IG official] Kami akan dengan senang hati membantu.",
Negatif,berminyak,"Teksturnya cair agak kental, warnanya sedikit kekuningan, dan baunya cukup wangi","Efeknya di aku kurang nampol, wajah jadi sedikit berminyak dan agak lengket habis dipakai",Terima kasih atas review Anda! Kami senang Anda mencoba produk kami. Kami memahami bahwa produk kami mungkin tidak sesuai dengan jenis kulit Anda. Kami akan membantu Anda menemukan produk yang lebih sesuai. Silakan hubungi kami untuk informasi lebih lanjut.,
Positif,N/A,Memberikan hasil yang bagus dan tidak berminyak,None,Terima kasih telah memilih produk AZARINE sunscreen! Kami senang Anda puas dengan hasilnya. Harga dan kualitas produk kami telah dirancang untuk memenuhi kebutuhan Anda. Kami senang menjadi pilihan Anda!,
Positif,badak (kulit berminyak),produk ini dapat digunakan sebagai pemula karena harganya terjangkau dan dapat ditemukan di toko offline/online,efek mencerahkan berkurang beberapa minggu setelah pemakaian (mungkin berhubungan dengan jenis kulit yang tidak disebutkan secara spesifik),"Terima kasih atas review Anda! Kami senang mendengar bahwa Anda menikmati kualitas Sunscreen kami. Jika Anda memiliki pertanyaan atau kekhawatiran setelah menggunakan produk kami, silakan menghubungi kami. Kami senang membantu membahas masalah efek mencerahkan yang Anda alami.",
Netral,N/A,Merangsang penampilan dan memberikan efek hidrasi,Kurang langsung menampakkan efeknya,"Terima kasih telah bereksperimen dengan produk kami Azarine. Kami senang kamu menemukan efek hidrasi pada wajahmu, meskipun kamu mungkin membutuhkan beberapa waktu untuk melihat perbedaannya. Kami juga memahami keinginan kamu untuk efek langsung, dan kami akan mempertimbangkan saran ini dalam pengembangan kemudian.",
Positif,kulit badak,"Efeknya lama dan gak terlalu kelihatan, worth to buy","Di kulit badak, hasilnya agak lama yah di kulit aku, tidak terlalu signifikan perubahannya di kulit ku",Terima kasih telah memilih produk kami. Kami senang Anda merasakan kegunaan produk kami dan kami paham bahwa setiap kulit memiliki kebutuhan yang berbeda-beda. Kami akan senantiasa meningkatkan kualitas produk kami untuk memenuhi kebutuhan pelanggan kami. Apakah Anda memiliki pertanyaan atau memerlukan bantuan lebih lanjut? Silakan hubungi kami.,
Positif,N/A,"Mudah diaplikasikan, bahan aman, tidak menyebabkan iritasi, harga terjangkau, efek mencerahkan",Aroma yang kurang disukai,"Terima kasih atas ulasan Anda! Kami senang Anda puas dengan tekstur dan kandungan bahan produk kami. Kami akan mengambil feedback tentang aroma produk dan berusaha untuk meningkatkan kenyamanan penggunaan produk kami. Jika Anda memiliki saran atau pertanyaan, jangan ragu untuk menghubungi kami.",
Positif,berminyak,Mencerahkan wajah dan menenangkan kulit berminyak yang parah,Sulit ditemukan dan isinya sedikit,"Terima kasih telah mencoba produk kami! Kami senang mengetahui bahwa produk kami dapat membantu kulit Anda menjadi lebih cerah dan tenang. Kami mengerti bahwa Anda sedang mengalami kesulitan menemukan produk kami karena stok yang terbatas. Kami akan memastikan bahwa stok kami selalu tersedia dalam jumlah yang cukup untuk kebutuhan Anda. Untuk isinya yang sedikit, kami akan mempertimbangkan untuk meningkatkan jumlah bahan di formula produk kami di masa depan. Terima kasih atas feedback Anda dan kami akan terus bekerja untuk memberikan produk yang lebih baik untuk Anda!",
Negatif,N/A,Aman digunakan pada kulit,Kurang powerful kandungan vitamin C dan tidak efektif dalam menghilangkan bekas jerawat dan noda hitam,"Terima kasih sudah melakukan review tentang produk Azarine. Kami menghargai umpan balik Anda dan senang mengetahui bahwa produk kita aman digunakan pada kulit. Kami akan mempertimbangkan kembangkan kandungan vitamin C dalam produk kami untuk memberikan hasil yang lebih baik. Jika Anda memiliki saran atau kritik lainnya, silakan beritahu kami. Kami akan terus berusaha untuk memberikan produk terbaik bagi Anda. Terima kasih lagi atas kesediaan Anda menggunakan produk Azarine.",
Positif,N/A,Membuat kulit lebih cerahan dan lebih halus,None,Terima kasih atas pilihannya untuk produk serum kami! Kami senang Anda telah puas dengan hasilnya. Kami percaya Anda akan menemukan varian lain yang sesuai dengan kebutuhan kulit Anda di kami juga. Kami akan selalu berusaha untuk meningkatkan kualitas produk kami dan memberikan pilihan yang lebih luas untuk Anda.,
Positif,N/A,Membantu permasalahan kulit wajah dan tekstur serum yang cepat meresap.,None,Terima kasih sudah memilih serum kami sebagai favorit! Kami senang serum kami berhasil membantu permasalahan kulit wajahmu. Kami berharap kamu melanjutkan menggunakan produk kami dan berbagi pengalaman positif lainnya dengan kami.,
Negatif,N/A,Efek dari produk serum Vit C,"Produk tidak memiliki efek, oksidasi yang cepat, produk tidak diproduksi lagi","Terima kasih atas ulasan Anda. Kami senang untuk memahami kesan Anda pada produk kami. Kami akan mencoba untuk mengembangkan produk yang lebih baik untuk Anda di masa depan. Jika Anda memiliki pertanyaan atau saran, jangan ragu untuk menghubungi kami.",
Positif,N/A,Produk sunscreen membuat kulit cerahan dan tidak kering.,None,"Terima kasih atas review Anda! Kami senang mengetahui bahwa produk kami berhasil memberikan hasil yang positif untuk kulit Anda. Sama seperti yang Anda sebutkan, produk kami dirancang untuk memberikan perlindungan yang efektif sambil membantu menjaga kelembaban kulit. Jika Anda memiliki pertanyaan atau kebutuhan lebih lanjut, jangan ragu untuk menghubungi kami.",
Positif,N/A,"Mencerahkan, memberikan kelembaban, dan membuat kulit lebih lembut",None,"Terima kasih atas ulasanmu yang sangat positif! Kami senang menyampaikan bahwa Azarine Lightening Serum merupakan salah satu produk kecintaan kami juga. Kami akan terus mengevaluasi dan meningkatkan kualitas produk kami untuk memberikan hasil yang lebih baik. Jika kamu memiliki pertanyaan atau saran, jangan ragu untuk menghubungi kami!",
Netral,N/A,Melumasi kulit,"Tekstur produk terlalu cair, meresapnya lama, dan tidak menyempurnakan penyinaran kulit","Terima kasih telah membagikan pengalaman Anda pada produk kami. Kami senang mengetahui bahwa produk kami dapat membantu melumasi kulit Anda. Sayangnya, kami menyadari bahwa tekstur produk kami mungkin tidak memenuhi ekspektasi Anda. Kami akan berusaha untuk meningkatkan produk kami agar lebih baik. Jika Anda memiliki saran atau kritik, silakan kirimkan kepada kami melalui kotak komentar. Kami di sini untuk membantu.",
Netral,Berminyak/Kombinasi to oily skin,Mencerahkan,Teksturnya masih oily pada wajah yang memiliki kulit kombinasi to oily skin,"Terima kasih telah memilih produk sunsceen Azarine. Kami senang mengetahui bahwa produk kami sudah mencerahkan kulit Anda. Untuk teksturnya yang oily, kami telah membahasnya dengan tim penelitian kami untuk meningkatkan kualitas produk. Untuk Anda yang memiliki kulit kombinasi to oily skin, kami sarankan Anda mencoba produk yang dioptimalkan untuk jenis kulit Anda. Jika Anda memiliki pertanyaan lain, silakan hubungi kami.",
Positif,N/A,"Produk mudah digunakan, mencerahkan wajah dalam waktu 2 minggu",None,Terima kasih atas ulasan positif Anda! Kami senang produk kami dapat membantu Anda mencapai hasil yang diinginkan. Semoga Anda terus puas dengan produk kami!,
Positif,N/A,mencerahkan,"bukan memutihkan, hasilnya tidak instant","Terima kasih sudah mencoba produk sunscreen kami! Kami senang Anda merasa puas dengan hasilnya. Selain itu, kami ingin menjelaskan bahwa produk kami dirancang untuk memberikan perlindungan dan mencerahkan kulit, tidak untuk memutihkan. Kami berharap Anda terus bisa menggunakannya dan merasakan manfaatnya. Jika Anda memiliki pertanyaan atau saran, silakan hubungi kami kembali.",
Positif,berminyak,Sehat dan lebih cerah,None, Terima kasih atas review positif Anda atas produk serum sunscrenn kami! Kami senang mendengar bahwa produk kami berhasil dalam menjaga kulit Anda yang berminyak menjadi sehat dan cerah. Kami akan terus berkomitmen untuk menghadirkan produk yang berkualitas tinggi untuk kebutuhan kulit Anda. Kami akan senang menyambut Anda kembali dalam pengalaman berbelanja yang lebih baik! ,
Positif,N/A,"Cocok untuk kantong pelajar, mudah meresap, harga murah, dan aman dibawa traveling",None,"Terima kasih kamu telah mencoba serum dari Azarine! Kami senang sekali melihat kamu puas dengan kualitas produk kami. Di Azarine, kami selalu berusaha untuk menyediakan produk yang berkualitas tinggi dan harga yang terjangkau. Kami berharap kamu akan terus menikmati produk kami dan kami akan terus berusaha untuk meningkatkan kualitas kami. Terima kasih atas kepercayaanmu dan kami akan terus berusaha untuk memberikan yang terbaik!",
Negatif,berminyak dan sesat (acne prone),ingin ngilangin bekas jerawat,"produk tidak cocok, mengakibatkan bruntusan, dan jerawat",Terima kasih atas review Anda. Kami sangat menyesal jika produk kami tidak sesuai dengan kebutuhan kulit Anda. Kami akan senang membantu Anda menemukan produk yang tepat untuk jenis kulit Anda. Silakan hubungi kami untuk informasi lebih lanjut tentang produk kami dan panduan penanganan kulit yang lebih baik.,
Positif,berminyak dan kering,"produk ini mudah di blend, tidak menyebabkan whitecast, dan harga murah",None,Terima kasih telah menggunakan produk kami dan membagikan ulasan positif tentang kandungan serta manfaat yang kami berikan. Kami senang mengetahui bahwa produk kami cocok digunakan oleh berbagai jenis kulit dan memuaskan permintaan Anda. Kami akan terus berupaya untuk meningkatkan kualitas produk kami agar Anda tetap merasakan kepuasan dalam menggunakan produk kami.,
Positif,N/A,"Tercipta kulit yang bagus, cocok untuk wajah pengguna",None,"Terima kasih sudah memilih Azarine sebagai pilihan sunscreen Anda! Kami senang mendengar bahwa produk kami berhasil memberikan hasil yang diharapkan. Kami akan terus berusaha untuk meningkatkan kualitas produk kami, termasuk produk terbaru kami. Saya dengan senang hati menunggu peluncuran produk terbaru kami tahun depan.",
Positif,N/A,Cerahkan kulit yang kusam,Lengket dan lama meresap,"Terima kasih sudah membagikan pengalaman Anda dengan produk kami! Kami senang mendengar bahwa produk kami berhasil membantu cerahkan kulit Anda. Kami paham bahwa tekstur serum yang kental mungkin terasa agak lengket dan lama meresap, namun kami akan mencoba untuk meningkatkan kenyamanan penggunaan produk kami berdasarkan umpan balik positif seperti Anda. Kami berharap Anda dapat terus menggunakan produk kami dan merasakan hasil yang maksimal.",
Positif,N/A,Produk mencerahkan dan mudah digunakan,None,"{'message': 'Terima kasih telah memilih Azarine sebagai pilihan skincare Anda! Kami senang mengetahui bahwa produk kami telah memberikan hasil yang positif bagi kulit Anda. Untuk informasi lebih lanjut tentang produk kami atau untuk pertanyaan lainnya, silakan hubungi kami.'}",
Positif,normal,"Membuat tekstur kulit lebih lembut, lembab, kenyal, dan menurunkan jerawat","Produk oksidasi di kulit jika digunakan bersama lainnya, sulit ditemukan di pasaran","Selamat atas keputusan Anda dalam menggunakan serum kami! Kami senang Anda merasakan efek positif seperti tekstur kulit yang lebih lembut dan menurunnya jerawat. Untuk keluhan tentang oksidasi kulit, kami akan segera memperbaiki formula produk untuk menjaga kualitas yang lebih baik. Kami juga memohon maaf karena produk kami sedang sulit ditemukan di pasaran. Kami akan segera melakukan inventarisasi dan memastikan bahwa produk ini tersedia di semua tempat penjualan. Terima kasih atas kesedian Anda untuk mereview produk kami. Kami sangat menghargai umpan balik dari pelanggan setia seperti Anda.",
Positif,N/A,Melembabkan kulit dan memberikan efek cerah,None,Terima kasih sudah memilih serum vitamin C kami! Kami senang sekali mendengar bahwa produk kami telah membantu menjaga kulit Anda tetap cerah dan lembab. Kami juga mengapresiasi komentar Anda tentang kemasan plastik ringan dan kokoh kami. Kami akan terus berusaha untuk meningkatkan kualitas produk kami dan memberikan layanan yang lebih baik kepada Anda. Selamat hari!,
Positif,N/A,bikin kulit bersinar dan glowing,None,"Terima kasih atas ulasan positif Anda tentang produk Sunscreen kami! Kami senang Anda puas dengan kualitas dan hasil produk kami. Jika Anda memiliki pertanyaan atau kebutuhan lebih lanjut tentang produk kami, jangan ragu untuk bertanya.",
Negatif,kering,,"Kulit jadi kusam dan jerawatan, kulit tidak bersahabat dengan vitamin C, serta trauma yang berkepanjangan","Maaf atas pengalaman tidak menyenangkan Anda dengan produk kami. Kami menyadari bahwa setiap kulit unik dan mungkin tidak selalu cocok dengan produk kami. Jika Anda ingin mencoba produk lain, kami akan senang membantu. Atau, jika Anda memiliki pertanyaan tentang perawatan kulit, silakan bertanya kepada kami.",
Positif,kering,mencerahkan kulit dan membantu melembabkan,Tidak ada,"Terima kasih sudah mencoba produk kami! Kami senang mendengar bahwa serum kami membantu mencerahkan dan melembabkan kulitmu. Untuk mendapatkan hasil yang lebih cepat, kami sarankan untuk menggunakan serum kami secara teratur dan komitmen. Jika kamu memiliki pertanyaan atau kebutuhan lebih lanjut, jangan ragu untuk menghubungi kami!",
Positif,N/A,Membantu kulit menjadi cerah dan membuatnya terlihat lebih alami,None,"Terima kasih telah menggunakan produk kami, Azarine! Kami senang mendengar bahwa Anda merasa puas dengan hasil dari produk kami. Kami akan terus meningkatkan kualitas produk kami untuk memuaskan kebutuhan Anda. Sampai jumpa lagi!",
Netral,berminyak,menghasilkan teksurnya liquid yang nyaman di wajah,"breaker dan jerawat yang muncul tiap memakai, produk juga tidak cocok dengan komposisi",Terima kasih telah berkomentar review untuk produk kami. Kami sangat menghargai umpan balik Anda dan menyesal mendengar bahwa Anda mengalami break out dan jerawat setelah menggunakan produk. Kami memiliki pilihan produk yang lebih sesuai untuk jenis kulit yang Anda miliki. Apakah Anda ingin kami menawarkan saran atau pilihan yang lebih baik untuk Anda?,
Negatif,berminyak,"menyerap cepat di wajah tanpa rasa lengket, wangi jeruk lemon yang segar",mengakibatkan jerawatan dan beruntusan wajah,"Terima kasih atas ulasan Anda. Kami senang mendengar bahwa serum Azarine dapat memberikan efek radiance pada Ibunda Anda. Namun, kami juga sedih mendengar bahwa produk kami tidak sesuai dengan jenis kulit Anda dan adik Anda. Kami akan menggunakan ulasan ini untuk melanjutkan pengembangan produk kami. Jika Anda ingin mencoba produk lain yang mungkin lebih sesuai dengan jenis kulit Anda, silakan hubungi kami untuk informasi lebih lanjut.",
Negatif,kombinasi,None,Tidak ada pengaruh apapun di kulit setelah digunakan selama sebulan,"Terima kasih atas kesempatannya untuk mencoba produk our sunscreen. Sayangnya, kami tidak menemukan hasil yang diharapkan. Kami akan senang membantu Anda menemukan produk lain yang lebih sesuai dengan kebutuhan kulit Anda. Apakah Anda berminat kami menghubungi Anda untuk membahas lebih lanjut? Kami di sini untuk membantu.",
Positif,N/A,Textur yang lebih tebal dan tidak memiliki efek negatif,None,Terima kasih telah mencoba produk sunscreen kami! Kami senang Anda menyukai tekstur produk kami. Skin cycling atau digunakan bersama serum lain adalah cara yang baik untuk mendapatkan manfaat maksimal dari produk. Kami akan terus berusaha meningkatkan kualitas produk kami untuk memenuhi kebutuhan Anda. Mohon terus memberikan umpan balik kami!,
Positif,N/A,Dapat mencerahkan dan tidak membuat cekat atau merah pada kulit,"Tekstur yang agak kental, mengambil waktu lama nyerap, dan lengket","Terima kasih telah mencoba produk sunscreen kami! Kami senang mendengar bahwa produk kami dapat memberikan hasil yang diinginkan Anda. Untuk tekstur yang agak kental, kami sarankan untuk mengaduk produk sebelum digunakan atau mencoba menggunakan sedikit produk untuk melihat hasilnya. Jika ada pertanyaan lain, jangan ragu untuk bertanya.",
Negatif,gelap,tidak ada efek mencerahkannya,"Produk tidak efektif dalam mencerahkan kulit, hanya dapat digunakan sebagai campuran lotion","Terima kasih atas ulasan Anda tentang produk kami. Kami mungkin memerlukan informasi lebih lanjut tentang kulit Anda untuk merekomendasikan produk yang lebih sesuai. Silakan menghubungi kami untuk informasi lebih lanjut, kami akan senang membantu!",
Positif,N/A,efeknya wajah jadi cerah bersih dan warna kulit lebih rata,"baunya seger kayak permen, lebih lengket dari serum lain tp nggak mengganggu","Terima kasih telah memilih produk kami! Kami senang Anda menemukan bahwa produk sunscreen kami memberikan efek cerah dan menyamarkan warna kulit. Untuk masalah baunya yang seger, kami akan mempertimbangkan untuk mengoptimalkan proses pengolahannya. Jika Anda mencoba produk sendirian, akan sangat membantu kami jika Anda memberi umpan balikan lebih lanjut.",
Positif,N/A,Bintik2 hitam bekas jerawatnya memudar,"Packagingnya kecil jadi cepet abis, harus beli2 lagi",Terima kasih atas review Anda! Kami senang produk kami bisa memberi manfaat bagi kulit Anda. Kami juga akan mempertimbangkan perbaikan packaging untuk kebutuhan pelanggan yang lebih luas di masa depan.,
Positif,berminyak,Kulit muka menjadi lebih cerah dan bersih,None,"Terima kasih atas review Anda! Kami senang mendengar bahwa serum VIT C kami dapat membantu menambahkan kecerahan dan kebersihan pada kulit Anda. Jika Anda memiliki pertanyaan atau kebutuhan lain, jangan ragu untuk menghubungi kami.",
Positif,N/A,Pencerahan kulit,None,"Terima kasih telah memilih produk Azarine! Kami senang melihat Anda puas dengan hasilnya. Untuk pembelian berikutnya, silakan hubungi kami untuk memilih paket yang sesuai dengan kebutuhan Anda.",
Negatif,N/A,Mencerahkan kulit,"Sedikit lama efektif, tidak membuat minyak, tetapi hasilnya belum tampak","Selamat atas pilihan Anda memilih produk kami, SunScreen Azarine. Kami menyesal mendengar bahwa produk kami tidak memenuhi harapan Anda. Untuk mencerahkan kulit, Anda dapat mencoba menggunakan produk secara rutin dan konsisten. Kami juga menawarkan garansi pengembalian jika Anda tidak puas dengan produk kami. Silakan hubungi kami melalui email atau media sosial kami untuk mendapatkan informasi lebih lanjut.",
Negatif,N/A,,"Kuaturnya sunscreen tidak efektif, plastiknya murahan, produk tidak mencerahkan dan tidak melembabkan","Terima kasih telah membagikan pendapat Anda tentang produk kami. Kami paham bahwa kepuasan pelanggan sangat penting bagi kami. Kami akan memperhatikan umpan balik Anda untuk meningkatkan kualitas produk kami. Jika Anda memiliki saran atau pertanyaan, jangan ragu untuk hubungi kami lagi.",
Positif,N/A,"Memudarkan bekas jerawat, cerahan, mudah di blend, tidak berat, dan calming buat kemerahan.",Hanya complaint ringan tentang tekstur yang 'agak kuning',"Terima kasih telah menggunakan produk Sunscreen Azarine! Kami senang membantu Anda mendapatkan kulit yang sihat dan segar. Tekstur warna yang 'agak kuning' memang sedikit berbeda, tapi kami telah terus berkembang untuk meningkatkan kualitas produk kami. Anda dapat terus menggunakan produk kami dengan keyakinan karena telah teruji keamanan dan kinerja tinggi.",
Positif,N/A,Menghasilkan kulit wajah yang lebih lembab dan kenyal,None,"Terima kasih atas ulasannya, kami senang Anda merasakan perubahan positif pada kulit wajah. Kami akan terus meningkatkan kualitas produk kami untuk memenuhi kebutuhan pelanggan. Selamat mencoba produk-produk kami lainnya!",
Positif,N/A,"Kulit tetap lembut dan lembab selama 2 hari, tekstur tidak membuat kulit kering",None,Terima kasih atas ulasan positif Anda tentang Azarine Serum C White! Kami senang produk kami bisa memberikan manfaat kepada kulit Anda. Kami akan terus berusaha untuk meningkatkan kualitas produk bagi Anda dan pelanggan lainnya.,
Positif,berminyak,Menghilangkan bintik-bintik hitam dan membuat wajah bercahaya,N/A,"Terima kasih telah memilih produk kami, Azarine! Kami senang mendengar bahwa Anda telah menemukan keuntungan dari penggunaan serum kami. Bintik-bintik hitam yang memudar dan wajah yang bercahaya adalah hasil yang luar biasa. Kami siap membantu Anda jika Anda memiliki pertanyaan atau kekhawatiran lebih lanjut tentang produk kami.",
Positif,N/A,Mudah menyerap dan ringan,None,Terima kasih telah memilih produk kami! Kami senang mendengar bahwa produk Sunscreen Azarine Anda menyerap dengan baik dan ringan. Kami akan terus berusaha untuk meningkatkan kualitas produk kami untuk Anda.,
Positif,berminyak,Cerahan kulit,None,Selamat atas keberhasilan Anda dalam menjumpai cerahan kulit yang diinginkan dengan produk Sunscreen kami! Kami senang mengetahui bahwa kandungan vitamin C kami telah membantu Anda mendapatkan kulit yang sehat dan cerah. Terima kasih atas kepercayaan Anda dalam memilih produk kami. Kami berharap Anda terus menjadi loyalitas Anda dengan Azarine.,
Positif,Kusam/Ayah-Ayah,"Menghilangkan bekas jerawat, menghilangkan kulit kusam (ditambah dengan asupan Vitamin C)","Jerawat, kulit kusam","Terima kasih telah menggunakan produk Azarine Vitamin C! Kami senang produk kami dapat membantu menghilangkan bekas jerawat dan memberikan Anda kulit yang lebih cerah. Kami berharap Anda akan terus menikmati manfaat produk kami. Jika Anda memiliki pertanyaan atau permintaan, jangan ragu untuk menghubungi kami.",
